timestamp,file_name,satisfied_clauses,total_clauses,all_satisfied,satisfied_at,finished_at,voltages,plot_file
2025-05-06 14:30:03,example.cnf,7,7,True,0.000,200.000,"{""x1"": 1.0000002188626416, ""x2"": 1.0000002629986275, ""x3"": -3.780506805895339e-07}",graphs/example.png
2025-05-06 14:30:50,uf20-01.cnf,91,91,True,49.923,200.000,"{""x1"": -1.2228106618386488e-06, ""x2"": 1.0000016099547262, ""x3"": 1.000000292133269, ""x4"": 1.0000001453422056, ""x5"": -2.0543716827511642e-06, ""x6"": -1.9685610836423028e-07, ""x7"": -9.029028948764284e-07, ""x8"": 1.0000004775989668, ""x9"": 1.0000001898017599, ""x10"": 1.000001342743506, ""x11"": 1.0000004960695312, ""x12"": -8.334989044764699e-07, ""x13"": -2.700172715672721e-06, ""x14"": 1.0000000992504265, ""x15"": 1.0000025314143604, ""x16"": -1.36117006028563e-07, ""x17"": 1.0000023440793693, ""x18"": 1.0000030079583335, ""x19"": 1.0000002229549454, ""x20"": 1.0000002952312823}",graphs/uf20-01.png
2025-05-06 14:32:11,uf20-02.cnf,91,91,True,32.593,200.000,"{""x1"": 0.7508292255128601, ""x2"": -3.045435545922708e-07, ""x3"": -1.5780317056604378e-07, ""x4"": -2.195692286633549e-07, ""x5"": 0.7386234875559677, ""x6"": -1.0212605770443203e-07, ""x7"": 1.0000002628431686, ""x8"": 1.0000002808928485, ""x9"": 1.0000001665373581, ""x10"": -2.1963694643228997e-07, ""x11"": -2.9280803464218036e-07, ""x12"": -2.252394633668853e-08, ""x13"": -2.6393599113396147e-07, ""x14"": 1.000000255625272, ""x15"": 0.5589822877378127, ""x16"": 1.0000004997530791, ""x17"": -2.7096038279501337e-07, ""x18"": -5.537431555915985e-07, ""x19"": 1.0000000487988634, ""x20"": -8.229317112338883e-08}",graphs/uf20-02.png
2025-05-06 14:33:29,uf20-03.cnf,91,91,True,44.973,200.000,"{""x1"": 1.0000004709431478, ""x2"": 1.0000002571830702, ""x3"": 1.0000000727488434, ""x4"": 1.0000006140846436, ""x5"": -3.485196529337994e-07, ""x6"": 1.0000002804196564, ""x7"": 1.0000006121718683, ""x8"": 1.000000306164833, ""x9"": 1.000000112735949, ""x10"": 1.0000002456548933, ""x11"": 1.0000005804368732, ""x12"": -2.1374721191863845e-07, ""x13"": 1.0000005699125099, ""x14"": -5.282147852688222e-07, ""x15"": -4.1066402038818336e-07, ""x16"": 1.0000005098662101, ""x17"": 1.000000162420913, ""x18"": 1.0000006376167874, ""x19"": -2.4969729718799103e-07, ""x20"": 1.0000004302858647}",graphs/uf20-03.png
2025-05-06 14:34:02,uf20-04.cnf,91,91,True,62.152,200.000,"{""x1"": 1.000015210734812, ""x2"": -9.529459478725973e-06, ""x3"": 1.00001960384471, ""x4"": 1.000015598491265, ""x5"": -1.946427236071283e-06, ""x6"": -9.891638846847536e-06, ""x7"": 0.9071390421068605, ""x8"": -2.186223348422305e-06, ""x9"": -1.2065443510543048e-05, ""x10"": 1.0000015153326325, ""x11"": -1.1955423980324397e-07, ""x12"": -1.845425493041596e-05, ""x13"": 1.0000021809084263, ""x14"": -1.4375746807503173e-05, ""x15"": -1.4427995522955821e-06, ""x16"": 1.000001606935026, ""x17"": 1.00001401136169, ""x18"": -4.625239116420025e-06, ""x19"": -1.3577168567338908e-06, ""x20"": -2.4511143786707306e-06}",graphs/uf20-04.png
2025-05-06 14:35:29,uf20-05.cnf,91,91,True,44.773,200.000,"{""x1"": -5.074101549335888e-07, ""x2"": -3.2596068759121777e-07, ""x3"": -3.2717205904526977e-07, ""x4"": -4.6272768906653274e-07, ""x5"": 1.000000420805635, ""x6"": -6.033986281967201e-07, ""x7"": 1.0000000708830477, ""x8"": -5.498238027237708e-07, ""x9"": -3.5089845501059623e-07, ""x10"": 1.0000003049182575, ""x11"": -1.397035134985233e-07, ""x12"": 1.0000000910237123, ""x13"": 1.0000006074609507, ""x14"": -3.8321942966297603e-07, ""x15"": 1.0000002819317277, ""x16"": 0.4245105269796405, ""x17"": -1.9441900793527699e-07, ""x18"": 1.0000003825352701, ""x19"": -3.210923644943665e-07, ""x20"": 1.0000001964515524}",graphs/uf20-05.png
2025-05-06 14:36:06,uf20-06.cnf,91,91,True,79.840,200.000,"{""x1"": 1.0000077123674094, ""x2"": 1.0000382928308884, ""x3"": -0.00015853281594991489, ""x4"": -3.225965108429241e-05, ""x5"": 1.000045372929056, ""x6"": -5.267284993361021e-05, ""x7"": -3.4372280691433525e-05, ""x8"": 1.0000595656129192, ""x9"": -2.5835755951807004e-05, ""x10"": 1.0000386667677408, ""x11"": 1.0001247509213302, ""x12"": 1.000069096814577, ""x13"": -2.667563239825529e-05, ""x14"": 1.0000344411672413, ""x15"": 1.000064051017609, ""x16"": 1.0000304382456287, ""x17"": 1.0000243527911912, ""x18"": 1.0000000000077076, ""x19"": -1.8972380583782145e-10, ""x20"": 1.000026650892762}",graphs/uf20-06.png
2025-05-06 14:37:24,uf20-07.cnf,91,91,True,41.893,200.000,"{""x1"": -1.8911336548784255e-07, ""x2"": -1.7919040042740412e-07, ""x3"": 1.0000001609090132, ""x4"": 1.0000001217318912, ""x5"": -2.947448717886732e-07, ""x6"": 1.0000000577327637, ""x7"": 1.0000000468576955, ""x8"": 0.6894587179457408, ""x9"": 0.567087476659256, ""x10"": -4.4281652966964826e-07, ""x11"": -7.746967751549909e-08, ""x12"": 1.0000001717705689, ""x13"": 0.6110054471839945, ""x14"": -2.6887010151065054e-07, ""x15"": 1.0000001747488325, ""x16"": -1.5924673869789453e-07, ""x17"": -4.938507842848792e-07, ""x18"": 1.0000000049483153, ""x19"": 1.0000005463655324, ""x20"": 1.0000001825267184}",graphs/uf20-07.png
2025-05-06 14:38:39,uf20-08.cnf,91,91,True,47.333,200.000,"{""x1"": -1.995891204244514e-07, ""x2"": -1.1360612770786509e-06, ""x3"": 1.0000000727806941, ""x4"": 1.0000009285501532, ""x5"": -2.4559296215143357e-07, ""x6"": 1.0000002099083605, ""x7"": -3.898363750213995e-07, ""x8"": -1.1956484842064292e-07, ""x9"": 1.0000005702241794, ""x10"": -1.0268336789883928e-06, ""x11"": 1.0000007809280254, ""x12"": -1.1149722079492573e-06, ""x13"": 1.0000001075081668, ""x14"": -3.413087892051485e-07, ""x15"": -8.08514239498333e-07, ""x16"": -7.995114405126092e-07, ""x17"": -1.5151863863436723e-07, ""x18"": -3.412825721732121e-07, ""x19"": -3.221331666536333e-07, ""x20"": 0.8823995195172761}",graphs/uf20-08.png
2025-05-06 14:39:27,uf20-09.cnf,91,91,True,64.893,200.000,"{""x1"": -3.7595095763780276e-06, ""x2"": 1.00000026445627, ""x3"": 1.0000000846230677, ""x4"": -2.879619021360435e-06, ""x5"": -3.187958388626221e-06, ""x6"": 1.0000000589495757, ""x7"": -1.2208431787100831e-06, ""x8"": 1.000004799345524, ""x9"": -2.6475517231360163e-06, ""x10"": 1.0000165343249294, ""x11"": 1.0000061951195947, ""x12"": 1.0000051792867974, ""x13"": 1.0000172651468173, ""x14"": -6.7710712764118146e-06, ""x15"": 1.0000034531221007, ""x16"": 1.0000001217072843, ""x17"": 1.0000094028015183, ""x18"": -4.932018251226451e-06, ""x19"": -6.327347345719852e-06, ""x20"": -4.956887377764387e-06}",graphs/uf20-09.png
2025-05-06 14:40:44,uf20-010.cnf,91,91,True,43.733,200.000,"{""x1"": 1.0000003160799986, ""x2"": -3.7140572621847894e-07, ""x3"": 1.0000002354912472, ""x4"": 1.0000002770688328, ""x5"": 1.000000041466087, ""x6"": 1.0000003154998234, ""x7"": -4.837106091411872e-07, ""x8"": -4.152256157903815e-07, ""x9"": 1.0000002640662968, ""x10"": 0.7333705828806334, ""x11"": -2.0973063732012225e-07, ""x12"": 1.000000134801949, ""x13"": 1.0000003137865343, ""x14"": 1.0000004383916867, ""x15"": 1.0000000606920363, ""x16"": -3.2146736573744896e-07, ""x17"": -2.815975621048632e-07, ""x18"": -3.499132592487823e-07, ""x19"": 1.00000023709597, ""x20"": 1.0000000887034708}",graphs/uf20-010.png
2025-05-06 14:42:01,uf20-011.cnf,91,91,True,43.443,200.000,"{""x1"": 1.0000001158462948, ""x2"": 1.000000296452721, ""x3"": 0.36975071890090766, ""x4"": 1.0000001388930324, ""x5"": -3.8656069581352477e-07, ""x6"": 1.0000004282137864, ""x7"": -5.577300620986153e-08, ""x8"": -3.3545737491560796e-07, ""x9"": -3.449491728257991e-07, ""x10"": 0.3560694105316967, ""x11"": -1.4061167160447766e-07, ""x12"": 1.0000002261708836, ""x13"": -4.840361190410853e-07, ""x14"": 1.000000164515897, ""x15"": -2.048965603468491e-07, ""x16"": 1.00000023101956, ""x17"": 1.0000002994772181, ""x18"": -4.6479778381851767e-07, ""x19"": 1.0000004000518996, ""x20"": 1.0000003272473241}",graphs/uf20-011.png
2025-05-06 14:43:19,uf20-012.cnf,91,91,True,41.933,200.000,"{""x1"": 0.4862787557704238, ""x2"": 1.0000000975996444, ""x3"": -2.0061240513715743e-07, ""x4"": 1.0000003217263043, ""x5"": -3.183632741973812e-07, ""x6"": 1.0000001986167701, ""x7"": -7.175959856286256e-08, ""x8"": 0.22736741998865057, ""x9"": 0.4785674440866316, ""x10"": -1.3118168580095513e-07, ""x11"": -1.0798943094774281e-07, ""x12"": 1.0000001053954235, ""x13"": 1.0000001140944181, ""x14"": 1.0000002482190542, ""x15"": 0.49551273697726606, ""x16"": -1.2279115778446436e-07, ""x17"": 1.0000001128458547, ""x18"": -8.191795323940758e-08, ""x19"": 1.0000002473262757, ""x20"": -3.2783636345323316e-08}",graphs/uf20-012.png
2025-05-06 14:44:19,uf20-013.cnf,91,91,True,50.863,200.000,"{""x1"": -4.4399365998890263e-07, ""x2"": -5.129019507471992e-07, ""x3"": -3.138579318154571e-07, ""x4"": -3.031101503462412e-07, ""x5"": 1.000000137940858, ""x6"": 0.9181793036793264, ""x7"": 1.0000000981106527, ""x8"": 1.0000002271169177, ""x9"": -7.53570946158475e-07, ""x10"": -3.218465914905828e-07, ""x11"": -2.2940594947420043e-06, ""x12"": 1.0000001354347572, ""x13"": -6.007240498542119e-07, ""x14"": -3.6353403343452885e-06, ""x15"": -4.579212516183912e-07, ""x16"": 1.0000005252810478, ""x17"": -3.6521478692843024e-06, ""x18"": -2.6569381002457375e-07, ""x19"": -6.375095234251672e-07, ""x20"": 1.0000001259114886}",graphs/uf20-013.png
